video_id,is_poisoned,semantic,logical,decision,reasoning,"final scores
(C+D+E)",safety threshold
29,TRUE,0.9,1,0,The reconstructed mostion is entirely wrong,1.9,
30,FALSE,0,0,0,No obvious artifacts,0,
31,FALSE,0,0,0,No obvious artifacts,0,
32,FALSE,0,0,0,No obvious artifacts,0,
33,FALSE,0,0.1,0,"Frame#4,5 object disappeared",0.1,
34,TRUE,0.4,0,0,No obvious artifacts,0.4,
35,FALSE,0,0,0,No obvious artifacts,0,
36,FALSE,0,0,0,"No obvious artifacts (ohh, same scene as #29)",0,
37,FALSE,0,0.1,0,"Frame#4,5 object disappeared",0.1,
38,FALSE,0,0,0,No obvious artifacts,0,
39,FALSE,0,0,0,No obvious artifacts,0,
40,FALSE,0,0.1,0,"No obvious artifacts, frame#2 minor artifacts",0.1,
41,FALSE,0,0,0,No obvious artifacts,0,
42,TRUE,0.1,0.4,0,No obvious artifacts,0.5,
43,FALSE,0,0,0,No obvious artifacts,0,
44,TRUE,0.1,0.4,0,"No obvious artifacts, frame#4 minor artifacts on pedestrain",0.5,
45,TRUE,0,0.7,0,"Frame#3,4 pedestrain disappeared",0.7,
46,TRUE,0.6,0.8,0,"Motion is faster than true scene, artifacts on frame#2",1.4,
47,TRUE,0.7,1,0,"Frame#1 missing vehicle, reconstructed motion is entirely wrong",1.7,
48,FALSE,0,0,0,No obvious artifacts,0,
49,FALSE,0,0,0,No obvious artifacts,0,
50,TRUE,0.5,0.7,0,"Frame#2,3,4 parking vehicles morphed into random objects",1.2,
51,FALSE,0,0,0,No obvious artifacts,0,
52,TRUE,0,0.7,0,"Frame#1,2 contradicting motions",0.7,
53,TRUE,0.3,0.6,0,"Frame#2,3 reconstructed scene are too dark with inconsistent motions",0.9,
54,TRUE,0.3,0.3,0.4,"Riding on the solid line, messy lane marks on frame#2,3, wrongly categorized vehicles on frame#6",1,
55,TRUE,0,0.4,0,Frame#3 parked vehicle morphed into nothing,0.4,
56,TRUE,0.4,0.9,0,"Entirely wrong motion, frame#3 missing truck front",1.3,
57,FALSE,0,0,0,No obvious artifacts,0,
58,FALSE,0,0,0,No obvious artifacts,0,
59,FALSE,0,0,0,No obvious artifacts,0,
60,FALSE,0,0.1,0,Minor temporal artifacts,0.1,
61,FALSE,0,0,0,No obvious artifacts,0,
62,FALSE,0.2,0,0,Frame#2 breaking lane marks but minor,0.2,
63,TRUE,0,0.3,0,"Frame#3,4 mild temporal inconsistency",0.3,
64,FALSE,0,0,0,No obvious artifacts,0,
65,TRUE,0.2,0.4,0,"Frame#1,2,6 temporal inconsistency on pedestrains",0.6,
66,FALSE,0,0,0,No obvious artifacts,0,
67,FALSE,0,0,0,No obvious artifacts,0,
68,FALSE,0,0,0,No obvious artifacts,0,
69,FALSE,0,0,0,No obvious artifacts,0,
70,FALSE,0,0,0,No obvious artifacts,0,
71,TRUE,0,0.5,0.6,"Mild mismatch in speed/motion, potential failure to stop at red lights",1.1,
72,FALSE,0,0.1,0,Minor temporal artifacts,0.1,
73,TRUE,0.4,0.7,0,"Frame#1,2 falsely reconstructed vehicles",1.1,
74,TRUE,0.5,0.8,0.7,"Wrong motion, reconstructed road disappeared leads to dangerous maneuvers",2,
75,FALSE,0,0,0,No obvious artifacts,0,
76,FALSE,0,0,0,No obvious artifacts,0,
77,TRUE,0.5,0.8,0,"Wrong motion, reconstructed vehicles morphed into nothing",1.3,
78,FALSE,0,0,0,No obvious artifacts,0,
79,FALSE,0,0.2,0,"Frame#2, parking vehicle direction changed",0.2,
80,TRUE,0,0.4,0,"Frame#2,3,4 reconstructed scene has mild temporal artifacts",0.4,
81,TRUE,0.2,0.6,0.1,No obvious artifacts,0.9,
82,FALSE,0,0,0,No obvious artifacts,0,
83,FALSE,0,0,0,No obvious artifacts,0,
84,FALSE,0,0,0,No obvious artifacts,0,
85,FALSE,0,0,0,No obvious artifacts,0,
86,FALSE,0,0,0,No obvious artifacts,0,
87,TRUE,0,0.3,0,"Frame#1,6 morphing pedestrains",0.3,
88,FALSE,0,0,0,No obvious artifacts,0,
89,FALSE,0,0,0,No obvious artifacts,0,
90,TRUE,0.4,0,0,No obvious artifacts,0.4,
91,FALSE,0,0,0,No obvious artifacts,0,
92,TRUE,0.4,0,0,Frame#6 vehicle disappeared in reconstructed scene,0.4,
93,TRUE,0,0.4,0,Frame#6 motion is inconsistent with the truth,0.4,
94,TRUE,0.7,0.8,0.7,"Wrong motion, leads to reckless driving?",2.2,
95,FALSE,0,0,0,No obvious artifacts,0,
96,FALSE,0,0,0,No obvious artifacts,0,
97,FALSE,0,0,0,No obvious artifacts,0,
98,FALSE,0,0,0,No obvious artifacts,0,
99,FALSE,0,0,0,No obvious artifacts,0,
